oligoset_id	oligo_0	oligo_1	oligo_2	oligo_3	oligo_4	set_score_worst	set_score_sum
0	AARS1::6017	AARS1::5509	AARS1::6511	AARS1::6498	AARS1::3768	0.723	3.168
1	AARS1::6017	AARS1::5509	AARS1::6511	AARS1::4272	AARS1::3768	0.723	3.169
2	AARS1::6017	AARS1::5509	AARS1::6511	AARS1::2013	AARS1::3768	0.723	3.169
3	AARS1::6017	AARS1::5509	AARS1::6511	AARS1::2010	AARS1::3768	0.723	3.169
4	AARS1::6017	AARS1::5509	AARS1::6511	AARS1::3812	AARS1::3768	0.723	3.169
5	AARS1::6017	AARS1::5509	AARS1::6511	AARS1::7691	AARS1::3768	0.723	3.169
6	AARS1::6017	AARS1::5509	AARS1::7789	AARS1::6498	AARS1::3768	0.723	3.17
7	AARS1::6017	AARS1::5509	AARS1::7789	AARS1::4272	AARS1::3768	0.723	3.171
8	AARS1::6017	AARS1::5509	AARS1::6511	AARS1::2397	AARS1::3768	0.723	3.171
9	AARS1::6017	AARS1::5509	AARS1::7789	AARS1::2013	AARS1::3768	0.723	3.171
10	AARS1::6017	AARS1::5509	AARS1::7789	AARS1::2010	AARS1::3768	0.723	3.171
11	AARS1::6017	AARS1::5509	AARS1::7789	AARS1::3812	AARS1::3768	0.723	3.171
12	AARS1::6017	AARS1::5509	AARS1::7789	AARS1::7691	AARS1::3768	0.723	3.171
13	AARS1::6017	AARS1::6018	AARS1::7789	AARS1::6498	AARS1::3768	0.723	3.172
14	AARS1::6017	AARS1::5509	AARS1::2396	AARS1::6498	AARS1::3768	0.723	3.172
15	AARS1::6017	AARS1::6018	AARS1::7789	AARS1::4272	AARS1::3768	0.723	3.173
16	AARS1::6017	AARS1::5509	AARS1::2396	AARS1::4272	AARS1::3768	0.723	3.173
17	AARS1::6017	AARS1::5509	AARS1::7789	AARS1::2397	AARS1::3768	0.723	3.173
18	AARS1::6017	AARS1::6018	AARS1::7789	AARS1::2013	AARS1::3768	0.723	3.173
19	AARS1::6017	AARS1::5509	AARS1::2396	AARS1::2013	AARS1::3768	0.723	3.173
20	AARS1::6017	AARS1::6018	AARS1::7789	AARS1::2010	AARS1::3768	0.723	3.173
21	AARS1::6017	AARS1::5509	AARS1::2396	AARS1::2010	AARS1::3768	0.723	3.173
22	AARS1::6017	AARS1::6018	AARS1::7789	AARS1::3812	AARS1::3768	0.723	3.173
23	AARS1::6017	AARS1::5509	AARS1::2396	AARS1::3812	AARS1::3768	0.723	3.173
24	AARS1::6017	AARS1::6018	AARS1::7789	AARS1::7691	AARS1::3768	0.723	3.173
25	AARS1::6017	AARS1::5509	AARS1::2396	AARS1::7691	AARS1::3768	0.723	3.173
26	AARS1::6017	AARS1::5509	AARS1::6511	AARS1::2391	AARS1::3768	0.723	3.173
27	AARS1::6017	AARS1::5509	AARS1::6511	AARS1::3765	AARS1::3768	0.723	3.174
28	AARS1::6017	AARS1::6018	AARS1::2396	AARS1::6498	AARS1::3768	0.723	3.174
29	AARS1::6017	AARS1::6018	AARS1::2396	AARS1::4272	AARS1::3768	0.723	3.175
30	AARS1::6017	AARS1::6018	AARS1::7789	AARS1::2397	AARS1::3768	0.723	3.175
31	AARS1::6017	AARS1::5509	AARS1::2396	AARS1::2397	AARS1::3768	0.723	3.175
32	AARS1::6017	AARS1::6018	AARS1::2396	AARS1::2013	AARS1::3768	0.723	3.175
33	AARS1::6017	AARS1::6018	AARS1::2396	AARS1::2010	AARS1::3768	0.723	3.175
34	AARS1::6017	AARS1::6018	AARS1::2396	AARS1::3812	AARS1::3768	0.723	3.175
35	AARS1::6017	AARS1::6018	AARS1::2396	AARS1::7691	AARS1::3768	0.723	3.175
36	AARS1::6017	AARS1::5509	AARS1::7772	AARS1::6498	AARS1::3768	0.723	3.175
37	AARS1::6017	AARS1::5509	AARS1::7789	AARS1::2391	AARS1::3768	0.723	3.175
38	AARS1::6017	AARS1::5509	AARS1::7772	AARS1::4272	AARS1::3768	0.723	3.176
39	AARS1::6017	AARS1::5509	AARS1::7789	AARS1::3765	AARS1::3768	0.723	3.176
40	AARS1::6017	AARS1::5509	AARS1::7772	AARS1::2013	AARS1::3768	0.723	3.176
41	AARS1::6017	AARS1::5509	AARS1::7772	AARS1::2010	AARS1::3768	0.723	3.176
