oligoset_id	oligo_0	oligo_1	oligo_2	oligo_3	oligo_4	set_score_worst	set_score_sum
0	DECR2::4001	DECR2::4016	DECR2::3844	DECR2::2750	DECR2::3312	0.867	3.57
1	DECR2::4001	DECR2::4016	DECR2::3844	DECR2::2763	DECR2::3312	0.867	3.572
2	DECR2::4001	DECR2::4016	DECR2::3844	DECR2::2762	DECR2::3312	0.867	3.572
3	DECR2::4001	DECR2::3997	DECR2::3844	DECR2::2750	DECR2::3312	0.867	3.576
4	DECR2::4001	DECR2::3997	DECR2::3844	DECR2::2763	DECR2::3312	0.867	3.578
5	DECR2::4001	DECR2::3997	DECR2::3844	DECR2::2762	DECR2::3312	0.867	3.578
6	DECR2::4001	DECR2::3997	DECR2::3991	DECR2::2750	DECR2::3312	0.867	3.602
7	DECR2::4001	DECR2::3997	DECR2::3991	DECR2::2763	DECR2::3312	0.867	3.604
8	DECR2::4001	DECR2::3997	DECR2::3991	DECR2::2762	DECR2::3312	0.867	3.604
9	DECR2::4001	DECR2::3844	DECR2::3848	DECR2::2750	DECR2::3312	0.867	3.612
10	DECR2::4001	DECR2::3844	DECR2::3848	DECR2::2763	DECR2::3312	0.867	3.614
11	DECR2::4001	DECR2::3844	DECR2::3848	DECR2::2762	DECR2::3312	0.867	3.614
12	DECR2::4002	DECR2::4016	DECR2::3844	DECR2::2750	DECR2::3312	0.867	3.632
13	DECR2::4002	DECR2::4016	DECR2::3844	DECR2::2763	DECR2::3312	0.867	3.634
14	DECR2::4002	DECR2::4016	DECR2::3844	DECR2::2762	DECR2::3312	0.867	3.634
15	DECR2::3957	DECR2::4016	DECR2::3844	DECR2::2750	DECR2::3312	0.867	3.636
16	DECR2::3958	DECR2::4016	DECR2::3844	DECR2::2750	DECR2::3312	0.867	3.636
17	DECR2::4002	DECR2::3997	DECR2::3844	DECR2::2750	DECR2::3312	0.867	3.638
18	DECR2::3957	DECR2::4016	DECR2::3844	DECR2::2763	DECR2::3312	0.867	3.638
19	DECR2::3958	DECR2::4016	DECR2::3844	DECR2::2763	DECR2::3312	0.867	3.638
20	DECR2::3957	DECR2::4016	DECR2::3844	DECR2::2762	DECR2::3312	0.867	3.638
21	DECR2::3958	DECR2::4016	DECR2::3844	DECR2::2762	DECR2::3312	0.867	3.638
22	DECR2::4001	DECR2::3848	DECR2::3991	DECR2::2750	DECR2::3312	0.867	3.638
23	DECR2::4002	DECR2::3997	DECR2::3844	DECR2::2763	DECR2::3312	0.867	3.64
24	DECR2::4002	DECR2::3997	DECR2::3844	DECR2::2762	DECR2::3312	0.867	3.64
25	DECR2::4001	DECR2::3848	DECR2::3991	DECR2::2763	DECR2::3312	0.867	3.64
26	DECR2::4001	DECR2::3848	DECR2::3991	DECR2::2762	DECR2::3312	0.867	3.64
27	DECR2::3957	DECR2::3997	DECR2::3844	DECR2::2750	DECR2::3312	0.867	3.642
28	DECR2::3958	DECR2::3997	DECR2::3844	DECR2::2750	DECR2::3312	0.867	3.642
29	DECR2::3957	DECR2::3997	DECR2::3844	DECR2::2763	DECR2::3312	0.867	3.644
30	DECR2::3958	DECR2::3997	DECR2::3844	DECR2::2763	DECR2::3312	0.867	3.644
31	DECR2::3957	DECR2::3997	DECR2::3844	DECR2::2762	DECR2::3312	0.867	3.644
32	DECR2::3958	DECR2::3997	DECR2::3844	DECR2::2762	DECR2::3312	0.867	3.644
33	DECR2::4001	DECR2::4016	DECR2::3910	DECR2::2750	DECR2::3312	0.867	3.649
34	DECR2::4001	DECR2::4016	DECR2::3910	DECR2::2763	DECR2::3312	0.867	3.651
35	DECR2::4001	DECR2::4016	DECR2::3910	DECR2::2762	DECR2::3312	0.867	3.651
36	DECR2::4001	DECR2::3997	DECR2::3910	DECR2::2750	DECR2::3312	0.867	3.655
37	DECR2::4001	DECR2::3997	DECR2::3910	DECR2::2763	DECR2::3312	0.867	3.657
38	DECR2::4001	DECR2::3997	DECR2::3910	DECR2::2762	DECR2::3312	0.867	3.657
39	DECR2::4001	DECR2::3844	DECR2::4769	DECR2::2750	DECR2::3312	0.867	3.66
40	DECR2::4001	DECR2::3844	DECR2::4769	DECR2::2763	DECR2::3312	0.867	3.662
41	DECR2::4001	DECR2::3844	DECR2::4769	DECR2::2762	DECR2::3312	0.867	3.662
42	DECR2::4002	DECR2::3997	DECR2::3991	DECR2::2750	DECR2::3312	0.867	3.664
43	DECR2::4002	DECR2::3997	DECR2::3991	DECR2::2763	DECR2::3312	0.867	3.666
44	DECR2::4002	DECR2::3997	DECR2::3991	DECR2::2762	DECR2::3312	0.867	3.666
