oligoset_id	oligo_0	oligo_1	oligo_2	oligo_3	oligo_4	set_score_worst	set_score_sum
0	PRR35::9599	PRR35::7368	PRR35::10530	PRR35::2129	PRR35::10348	0.993	4.188
1	PRR35::9599	PRR35::10527	PRR35::10530	PRR35::2129	PRR35::10348	0.993	4.188
2	PRR35::9599	PRR35::7368	PRR35::10530	PRR35::9379	PRR35::10348	0.993	4.189
3	PRR35::9599	PRR35::10527	PRR35::10530	PRR35::9379	PRR35::10348	0.993	4.189
4	PRR35::9599	PRR35::7368	PRR35::10530	PRR35::7825	PRR35::10348	0.993	4.189
5	PRR35::9599	PRR35::10527	PRR35::10530	PRR35::7825	PRR35::10348	0.993	4.189
6	PRR35::9599	PRR35::10710	PRR35::10530	PRR35::2129	PRR35::10348	0.993	4.19
7	PRR35::9599	PRR35::7368	PRR35::10530	PRR35::9049	PRR35::10348	0.993	4.19
8	PRR35::9599	PRR35::10527	PRR35::10530	PRR35::9049	PRR35::10348	0.993	4.19
9	PRR35::9599	PRR35::10710	PRR35::10530	PRR35::9379	PRR35::10348	0.993	4.191
10	PRR35::9599	PRR35::10710	PRR35::10530	PRR35::7825	PRR35::10348	0.993	4.191
11	PRR35::9599	PRR35::7368	PRR35::10530	PRR35::8893	PRR35::10348	0.993	4.192
12	PRR35::9599	PRR35::10527	PRR35::10530	PRR35::8893	PRR35::10348	0.993	4.192
13	PRR35::9599	PRR35::7380	PRR35::10530	PRR35::2129	PRR35::10348	0.993	4.192
14	PRR35::9599	PRR35::10710	PRR35::10530	PRR35::9049	PRR35::10348	0.993	4.192
15	PRR35::9599	PRR35::7380	PRR35::10530	PRR35::9379	PRR35::10348	0.993	4.193
16	PRR35::9599	PRR35::7380	PRR35::10530	PRR35::7825	PRR35::10348	0.993	4.193
17	PRR35::9599	PRR35::10710	PRR35::10530	PRR35::8893	PRR35::10348	0.993	4.194
18	PRR35::9599	PRR35::9608	PRR35::10530	PRR35::2129	PRR35::10348	0.993	4.194
19	PRR35::9599	PRR35::7380	PRR35::10530	PRR35::9049	PRR35::10348	0.993	4.194
20	PRR35::9599	PRR35::7368	PRR35::10530	PRR35::9617	PRR35::10348	0.993	4.195
21	PRR35::9599	PRR35::10527	PRR35::10530	PRR35::9617	PRR35::10348	0.993	4.195
22	PRR35::9599	PRR35::9608	PRR35::10530	PRR35::9379	PRR35::10348	0.993	4.195
23	PRR35::9599	PRR35::9608	PRR35::10530	PRR35::7825	PRR35::10348	0.993	4.195
24	PRR35::9599	PRR35::7380	PRR35::10530	PRR35::8893	PRR35::10348	0.993	4.196
25	PRR35::9599	PRR35::9608	PRR35::10530	PRR35::9049	PRR35::10348	0.993	4.196
26	PRR35::9599	PRR35::10710	PRR35::10530	PRR35::9617	PRR35::10348	0.993	4.197
27	PRR35::9599	PRR35::9608	PRR35::10530	PRR35::8893	PRR35::10348	0.993	4.198
28	PRR35::9599	PRR35::9489	PRR35::10530	PRR35::2129	PRR35::10348	0.993	4.198
