oligoset_id	oligo_0	oligo_1	oligo_2	oligo_3	oligo_4	set_score_worst	set_score_sum
0	ABCC1::5941	ABCC1::3467	ABCC1::698	ABCC1::2945	ABCC1::2228	0.629	2.972
1	ABCC1::5941	ABCC1::3463	ABCC1::698	ABCC1::2945	ABCC1::2228	0.629	2.972
2	ABCC1::5941	ABCC1::698	ABCC1::2945	ABCC1::3460	ABCC1::2228	0.629	2.996
3	ABCC1::5941	ABCC1::698	ABCC1::2945	ABCC1::3456	ABCC1::2228	0.629	3.006
4	ABCC1::3463	ABCC1::698	ABCC1::2945	ABCC1::5937	ABCC1::2228	0.629	3.02
5	ABCC1::3467	ABCC1::698	ABCC1::2945	ABCC1::5937	ABCC1::2228	0.629	3.02
6	ABCC1::3463	ABCC1::698	ABCC1::2945	ABCC1::5895	ABCC1::2228	0.629	3.032
7	ABCC1::3467	ABCC1::698	ABCC1::2945	ABCC1::5895	ABCC1::2228	0.629	3.032
8	ABCC1::3463	ABCC1::698	ABCC1::2945	ABCC1::2228	ABCC1::5942	0.629	3.044
9	ABCC1::698	ABCC1::2945	ABCC1::5937	ABCC1::3460	ABCC1::2228	0.629	3.044
10	ABCC1::3467	ABCC1::698	ABCC1::2945	ABCC1::2228	ABCC1::5942	0.629	3.044
11	ABCC1::698	ABCC1::2945	ABCC1::5937	ABCC1::3456	ABCC1::2228	0.629	3.054
12	ABCC1::698	ABCC1::2945	ABCC1::3460	ABCC1::5895	ABCC1::2228	0.629	3.056
13	ABCC1::698	ABCC1::2945	ABCC1::5895	ABCC1::3456	ABCC1::2228	0.629	3.066
14	ABCC1::698	ABCC1::2945	ABCC1::3460	ABCC1::2228	ABCC1::5942	0.629	3.068
15	ABCC1::698	ABCC1::2945	ABCC1::3456	ABCC1::2228	ABCC1::5942	0.629	3.078
